Probblem size    Iterations     Distance      Wall time              Cores
20                10000         0.000000       1.457873               18
50                10000         0.000000       2.103589               18
100                10000         0.046206       11.178991             18
150                10000         0.548834       37.325486             18
200                10000         1.234518       102.395153            18
250                10000         1.786953       199.004831            18
20                10000         0.000000       1.693596               20
50                10000         0.000000       2.163086               20
100                10000         0.046206       10.602667             20
150                10000         0.548834       35.317257             20
200                10000         1.234518       95.692864             20
250                10000         1.786953       193.953693            20
20                10000         0.000000       2.135212               22
50                10000         0.000000       2.248561               22
100                10000         0.046206       10.420265             22
150                10000         0.548834       33.261796             22
200                10000         1.234518       92.761366             22
250                10000         1.786953       196.027485            22
20                10000         0.000000       2.315900               24
50                10000         0.000000       2.425443               24
100                10000         0.046206       9.887301              24
150                10000         0.548834       32.050645             24
200                10000         1.234518       93.229948             24
250                10000         1.786953       190.417147            24
