#Probblem size    Iterations     Distance      Wall time\n
10           182                  0.009694                  0.003207
20           638                  0.009907                  0.045792
30           1354                  0.009993                  0.307090
40           2322                  0.009974                  1.253911
50           3537                  0.009986                  3.636715
60           4990                  0.009996                  8.838602
70           6685                  0.009993                  18.547588
80           8612                  0.009998                  35.355909
90           10000                  0.015868                  58.076056
100           10000                  0.046206                  79.447027
