Probblem size    Iterations     Distance      Wall time      Cores
20           4000                  0.000000                  0.106391     2 
50           4000                  0.004146                  1.109014     2 
100           4000                  0.844141                  8.287275     2 
150           4000                  2.090275                  32.721490     2 
200           4000                  3.051852                  102.334090     2 
20           4000                  0.000000                  0.081178     4 
50           4000                  0.004146                  0.602953     4 
100           4000                  0.844141                  4.236236     4 
150           4000                  2.090275                  17.708256     4 
200           4000                  3.051852                  54.216984     4 
20           4000                  0.000000                  0.081236     6 
50           4000                  0.004146                  0.448982     6 
100           4000                  0.844141                  2.918015     6 
150           4000                  2.090275                  11.920343     6 
200           4000                  3.051852                  39.596600     6 
20           4000                  0.000000                  0.093989     8 
50           4000                  0.004146                  0.363871     8 
100           4000                  0.844141                  2.341719     8 
150           4000                  2.090275                  9.707625     8 
200           4000                  3.051852                  30.732419     8 
20           4000                  0.000000                  0.104580     10 
50           4000                  0.004146                  0.313420     10 
100           4000                  0.844141                  1.886353     10 
150           4000                  2.090275                  8.296473     10 
200           4000                  3.051852                  27.673345     10 
20           4000                  0.000000                  0.106125     12 
50           4000                  0.004146                  0.323965     12 
100           4000                  0.844141                  1.781410     12 
150           4000                  2.090275                  7.242724     12 
200           4000                  3.051852                  25.213097     12 
20           4000                  0.000000                  0.118651     14 
50           4000                  0.004146                  0.307291     14 
100           4000                  0.844141                  1.507781     14 
150           4000                  2.090275                  6.776446     14 
200           4000                  3.051852                  25.026021     14 
20           4000                  0.000000                  0.113331     16 
50           4000                  0.004146                  0.295181     16 
100           4000                  0.844141                  1.497243     16 
150           4000                  2.090275                  6.605876     16 
200           4000                  3.051852                  24.093378     16 
20           4000                  0.000000                  0.127707     18 
50           4000                  0.004146                  0.364366     18 
100           4000                  0.844141                  1.593907     18 
150           4000                  2.090275                  6.451138     18 
200           4000                  3.051852                  28.051151     18 
20           4000                  0.000000                  0.153668     20 
50           4000                  0.004146                  0.302824     20 
100           4000                  0.844141                  1.449377     20 
150           4000                  2.090275                  6.916904     20 
200           4000                  3.051852                  22.603857     20 
20           4000                  0.000000                  0.157170     22 
50           4000                  0.004146                  0.407203     22 
100           4000                  0.844141                  1.043116     22 
150           4000                  2.090275                  7.368646     22 
200           4000                  3.051852                  25.113247     22 
20           4000                  0.000000                  0.165005     24 
50           4000                  0.004146                  0.347784     24 
100           4000                  0.844141                  1.199840     24 
150           4000                  2.090275                  6.814569     24 
200           4000                  3.051852                  25.293383     24 
ProblemSize,Iterations,Distance,Walltime,Cores
20           4000                  0.000000                  0.153993     24 
50           4000                  0.004146                  0.395768     24 
100           4000                  0.844141                  1.270733     24 
150           4000                  2.090275                  6.833257     24 
200           4000                  3.051852                  26.411745     24 
ProblemSize,Iterations,Distance,Walltime,Cores
20           4000                  0.000000                  0.140711     1 
50           4000                  0.004146                  2.079068     1 
100           4000                  0.844141                  16.414143     1 
150           4000                  2.090275                  85.594824     1 
200           4000                  3.051852                  202.632299     1 
