ProblemSize,Iterations,Distance,Walltime,Cores,Type
200,           4000,                  3.051852,                  203.553129,             1,Improved
200,           4000,                  3.051852,                  103.409404,             2,Improved 
200,           4000,                  3.051852,                  71.914295,             3,Improved 
200,           4000,                  3.051852,                  54.055359,             4,Improved 
200,           4000,                  3.051852,                  45.619413,             5,Improved 
200,           4000,                  3.051852,                  38.549280,             6,Improved 
200,           4000,                  3.051852,                  33.937497,             7,Improved 
200,           4000,                  3.051852,                  30.108783,             8,Improved 
200,           4000,                  3.051852,                  28.827222,             9,Improved 
200,           4000,                  3.051852,                  27.998299,             10,Improved 
200,           4000,                  3.051852,                  26.237358,             11,Improved 
200,           4000,                  3.051852,                  24.128068,             12,Improved 
200,           4000,                  3.051852,                  24.865128,             13,Improved 
200,           4000,                  3.051852,                  24.135709,             14,Improved 
200,           4000,                  3.051852,                  25.245905,             15,Improved 
200,           4000,                  3.051852,                  26.405720,             16,Improved 
200,           4000,                  3.051852,                  27.027297,             17,Improved 
200,           4000,                  3.051852,                  28.155696,             18,Improved 
200,           4000,                  3.051852,                  26.624492,             19,Improved 
200,           4000,                  3.051852,                  25.013614,             20,Improved 
200,           4000,                  3.051852,                  23.758931,             21,Improved 
200,           4000,                  3.051852,                  22.642083,             22,Improved 
200,           4000,                  3.051852,                  21.209419,             23,Improved 
200,           4000,                  3.051852,                  21.864933,             24,Improved 
