ProblemSize,Iterations,Distance,Walltime,Cores,Type
200,           4000,                  3.051852,                  206.890049,             1,Simple 
200,           4000,                  3.051852,                  104.801419,             2,Simple 
200,           4000,                  3.051852,                  72.460247,             3,Simple 
200,           4000,                  3.051852,                  54.391578,             4,Simple 
200,           4000,                  3.051852,                  45.317703,             5,Simple 
200,           4000,                  3.051852,                  38.262959,             6,Simple 
200,           4000,                  3.051852,                  34.356116,             7,Simple 
200,           4000,                  3.051852,                  30.892089,             8,Simple 
200,           4000,                  3.051852,                  28.827312,             9,Simple 
200,           4000,                  3.051852,                  27.953439,             10,Simple 
200,           4000,                  3.051852,                  26.006188,             11,Simple 
200,           4000,                  3.051852,                  25.184794,             12,Simple 
200,           4000,                  3.051852,                  24.554868,             13,Simple 
200,           4000,                  3.051852,                  24.865079,             14,Simple 
200,           4000,                  3.051852,                  25.922652,             15,Simple 
200,           4000,                  3.051852,                  26.324378,             16,Simple 
200,           4000,                  3.051852,                  26.662100,             17,Simple 
200,           4000,                  3.051852,                  28.157880,             18,Simple 
200,           4000,                  3.051852,                  25.745342,             19,Simple 
200,           4000,                  3.051852,                  25.795549,             20,Simple 
200,           4000,                  3.051852,                  23.859999,             21,Simple 
200,           4000,                  3.051852,                  23.358915,             22,Simple 
200,           4000,                  3.051852,                  21.768650,             23,Simple 
200,           4000,                  3.051852,                  22.461381,             24,Simple 
